TOP6d155165	START
TOPa2d76f4d	separator	:
TOPa2d76f4d	opencl_vector_width	0
TOPa2d76f4d	outfile	../Avancement grade.crack
TOPa2d76f4d	rule_buf_l	:
TOPa2d76f4d	rule_buf_r	:
TOPa2d76f4d	session	hashcat
TOPa2d76f4d	veracrypt_pim	0
TOPa2d76f4d	target	../Avancement grade.pot
TOPa2d76f4d	hashlist_mode	4
TOPa2d76f4d	hashlist_format	0
TOPa2d76f4d	SUBbf5580d1	START
TOPa2d76f4d	SUBbf5580d1	mask	?1
TOPa2d76f4d	SUBbf5580d1	status-after-work	4
TOPa2d76f4d	SUBbf5580d1	runtime_start	1474305426
TOPa2d76f4d	SUBbf5580d1	runtime_stop	1474305431
TOPa2d76f4d	SUBbf5580d1	STOP
TOPa2d76f4d	SUBc0d8b7f1	START
TOPa2d76f4d	SUBc0d8b7f1	mask	?1?2
TOPa2d76f4d	SUBc0d8b7f1	status-after-work	4
TOPa2d76f4d	SUBc0d8b7f1	runtime_start	1474305432
TOPa2d76f4d	SUBc0d8b7f1	runtime_stop	1474305540
TOPa2d76f4d	SUBc0d8b7f1	STOP
TOPa2d76f4d	SUB871afafb	START
TOPa2d76f4d	SUB871afafb	mask	?1?2?2
TOPa2d76f4d	SUB871afafb	status-after-work	4
TOPa2d76f4d	SUB871afafb	runtime_start	1474305541
TOPa2d76f4d	SUB871afafb	runtime_stop	1474308413
TOPa2d76f4d	SUB871afafb	STOP
TOPa2d76f4d	SUBad2b42c3	START
TOPa2d76f4d	SUBad2b42c3	mask	?1?2?2?2
TOPa2d76f4d	SUBad2b42c3	status-after-work	4
TOPa2d76f4d	SUBad2b42c3	runtime_start	1474308414
TOPa2d76f4d	SUBad2b42c3	runtime_stop	1474385792
TOPa2d76f4d	SUBad2b42c3	STOP
TOPa2d76f4d	SUB706dab6a	START
TOPa2d76f4d	SUB706dab6a	mask	?1?2?2?2?2
TOPa2d76f4d	SUB706dab6a	status-after-work	6
TOPa2d76f4d	SUB706dab6a	runtime_start	1474385793
TOPa2d76f4d	SUB706dab6a	runtime_stop	1474961467
TOPa2d76f4d	SUB706dab6a	STOP
TOPa2d76f4d	proc_start	1474305424
TOPa2d76f4d	proc_stop	1474961468
TOPa2d76f4d	STOP
TOPcd547999	START
TOPcd547999	attack_mode	7
TOPcd547999	attack_kern	1
TOPcd547999	benchmark	0
TOPcd547999	stdout_flag	0
TOPcd547999	bitmap_min	16
TOPcd547999	bitmap_max	24
TOPcd547999	debug_mode	0
TOPcd547999	force	0
TOPcd547999	kernel_accel	0
TOPcd547999	kernel_loops	0
TOPcd547999	nvidia_spin_damp	100
TOPcd547999	gpu_temp_disable	0
TOPcd547999	gpu_temp_abort	90
TOPcd547999	gpu_temp_retain	75
TOPcd547999	hash_mode	0
TOPcd547999	hex_charset	0
TOPcd547999	hex_salt	0
TOPcd547999	hex_wordlist	0
TOPcd547999	increment	0
TOPcd547999	increment_max	54
TOPcd547999	increment_min	1
TOPcd547999	keyspace	0
TOPcd547999	left	0
TOPcd547999	logfile_disable	0
TOPcd547999	loopback	0
TOPcd547999	markov_classic	0
TOPcd547999	markov_disable	0
TOPcd547999	markov_threshold	32
TOPcd547999	outfile_autohex	1
TOPcd547999	outfile_check_timer	5
TOPcd547999	outfile_format	3
TOPcd547999	potfile_disable	0
TOPcd547999	powertune_enable	0
TOPcd547999	scrypt_tmto	0
TOPcd547999	quiet	0
TOPcd547999	remove	0
TOPcd547999	remove_timer	60
TOPcd547999	restore	0
TOPcd547999	restore_disable	0
TOPcd547999	restore_timer	60
TOPcd547999	rp_gen	0
TOPcd547999	rp_gen_func_max	4
TOPcd547999	rp_gen_func_min	1
TOPcd547999	rp_gen_seed	0
TOPcd547999	runtime	0
TOPcd547999	segment_size	32
TOPcd547999	show	0
TOPcd547999	status	0
TOPcd547999	machine_readable	0
TOPcd547999	status_timer	10
TOPcd547999	usage	0
TOPcd547999	username	0
TOPcd547999	version	0
TOPcd547999	weak_hash_threshold	0
TOPcd547999	workload_profile	2
TOPcd547999	limit	0
TOPcd547999	skip	0
TOPcd547999	separator	:
TOPcd547999	opencl_vector_width	0
TOPcd547999	rule_buf_l	:
TOPcd547999	rule_buf_r	:
TOPcd547999	session	hashcat
TOPcd547999	veracrypt_pim	0
TOPcd547999	target	example0.hash
TOPcd547999	hashlist_mode	4
TOPcd547999	hashlist_format	0
TOP8810eb20	START
TOP8810eb20	attack_mode	7
