# Fichier d'exportation de valeurs de pixels transparents généré par QGIS
#
#
# Rouge	Vert	Blue	Transparence (%)

245	247	251	97
245	247	250	97
245	247	249	97
245	247	248	97
245	247	247	97
245	247	246	96
245	247	245	96
245	246	255	98
245	246	254	97
245	246	253	97
245	246	252	97
245	246	251	97
245	246	250	97
245	246	249	97
245	246	248	97
245	246	247	96
245	246	246	96
245	246	245	96
245	245	255	97
245	245	254	97
245	245	253	97
245	245	252	97
245	245	251	97
245	245	250	97
245	245	249	97
245	245	248	96
245	245	247	96
245	245	246	96
245	245	245	96
0	0	0	100
0	0	1	100
0	0	2	100
0	0	3	100
0	0	4	99
0	0	5	99
0	0	6	99
0	0	7	99
0	0	8	99
0	0	9	99
0	0	10	99
0	1	0	100
0	1	1	100
0	1	2	100
0	1	3	99
0	1	4	99
0	1	5	99
0	1	6	99
0	1	7	99
0	1	8	99
0	1	9	99
0	1	10	99
0	2	0	100
0	2	1	100
0	2	2	99
0	2	3	99
0	2	4	99
0	2	5	99
0	2	6	99
0	2	7	99
0	2	8	99
0	2	9	99
0	2	10	98
0	3	0	100
0	3	1	99
0	3	2	99
0	3	3	99
0	3	4	99
0	3	5	99
0	3	6	99
0	3	7	99
0	3	8	99
0	3	9	98
0	3	10	98
0	4	0	99
0	4	1	99
0	4	2	99
0	4	3	99
0	4	4	99
0	4	5	99
0	4	6	99
0	4	7	99
0	4	8	98
0	4	9	98
0	4	10	98
0	5	0	99
0	5	1	99
0	5	2	99
0	5	3	99
0	5	4	99
0	5	5	99
0	5	6	99
0	5	7	98
0	5	8	98
0	5	9	98
0	5	10	98
0	6	0	99
0	6	1	99
0	6	2	99
0	6	3	99
0	6	4	99
0	6	5	99
0	6	6	98
0	6	7	98
0	6	8	98
0	6	9	98
0	6	10	98
0	7	0	99
0	7	1	99
0	7	2	99
0	7	3	99
0	7	4	99
0	7	5	98
0	7	6	98
0	7	7	98
0	7	8	98
0	7	9	98
0	7	10	98
0	8	0	99
0	8	1	99
0	8	2	99
0	8	3	99
0	8	4	98
0	8	5	98
0	8	6	98
0	8	7	98
0	8	8	98
0	8	9	98
0	8	10	98
0	9	0	99
0	9	1	99
0	9	2	99
0	9	3	98
0	9	4	98
0	9	5	98
0	9	6	98
0	9	7	98
0	9	8	98
0	9	9	98
0	9	10	98
0	10	0	99
0	10	1	99
0	10	2	98
0	10	3	98
0	10	4	98
0	10	5	98
0	10	6	98
0	10	7	98
0	10	8	98
0	10	9	98
0	10	10	97
1	0	0	100
1	0	1	100
1	0	2	100
1	0	3	99
1	0	4	99
1	0	5	99
1	0	6	99
1	0	7	99
1	0	8	99
1	0	9	99
1	0	10	99
1	1	0	100
1	1	1	100
1	1	2	99
1	1	3	99
1	1	4	99
1	1	5	99
1	1	6	99
1	1	7	99
1	1	8	99
1	1	9	99
1	1	10	98
1	2	0	100
1	2	1	99
1	2	2	99
1	2	3	99
1	2	4	99
1	2	5	99
1	2	6	99
1	2	7	99
1	2	8	99
1	2	9	98
1	2	10	98
1	3	0	99
1	3	1	99
1	3	2	99
1	3	3	99
1	3	4	99
1	3	5	99
1	3	6	99
1	3	7	99
1	3	8	98
1	3	9	98
1	3	10	98
1	4	0	99
1	4	1	99
1	4	2	99
1	4	3	99
1	4	4	99
1	4	5	99
1	4	6	99
1	4	7	98
1	4	8	98
1	4	9	98
1	4	10	98
1	5	0	99
1	5	1	99
1	5	2	99
1	5	3	99
1	5	4	99
1	5	5	99
1	5	6	98
1	5	7	98
1	5	8	98
1	5	9	98
1	5	10	98
1	6	0	99
1	6	1	99
1	6	2	99
1	6	3	99
1	6	4	99
1	6	5	98
1	6	6	98
1	6	7	98
1	6	8	98
1	6	9	98
1	6	10	98
1	7	0	99
1	7	1	99
1	7	2	99
1	7	3	99
1	7	4	98
1	7	5	98
1	7	6	98
1	7	7	98
1	7	8	98
1	7	9	98
1	7	10	98
1	8	0	99
1	8	1	99
1	8	2	99
1	8	3	98
1	8	4	98
1	8	5	98
1	8	6	98
1	8	7	98
1	8	8	98
1	8	9	98
1	8	10	98
1	9	0	99
1	9	1	99
1	9	2	98
1	9	3	98
1	9	4	98
1	9	5	98
1	9	6	98
1	9	7	98
1	9	8	98
1	9	9	98
1	9	10	97
1	10	0	99
1	10	1	98
1	10	2	98
1	10	3	98
1	10	4	98
1	10	5	98
1	10	6	98
1	10	7	98
1	10	8	98
1	10	9	97
1	10	10	97
2	0	0	100
2	0	1	100
2	0	2	99
2	0	3	99
2	0	4	99
2	0	5	99
2	0	6	99
2	0	7	99
2	0	8	99
2	0	9	99
2	0	10	98
2	1	0	100
2	1	1	99
2	1	2	99
2	1	3	99
2	1	4	99
2	1	5	99
2	1	6	99
2	1	7	99
2	1	8	99
2	1	9	98
2	1	10	98
2	2	0	99
2	2	1	99
2	2	2	99
2	2	3	99
2	2	4	99
2	2	5	99
2	2	6	99
2	2	7	99
2	2	8	98
2	2	9	98
2	2	10	98
2	3	0	99
