-- open spool at Fri May 11 17:02:47 CEST 2012
Tables
-------------+----------------------+------------+---------+
 TABLE_SCHEM |      TABLE_NAME      | TABLE_TYPE | REMARKS |
 CLIENT1     | LCT007_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT007_IRT           | TABLE      | [NULL]  |
 CLIENT1     | LCT007_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT007_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT007_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT007_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT007_LCT007        | TABLE      | [NULL]  |
 CLIENT1     | LCT009_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT009_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT009_ILTF          | TABLE      | [NULL]  |
 CLIENT1     | LCT009_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT009_IRT           | TABLE      | [NULL]  |
 CLIENT1     | LCT009_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT009_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT009_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT009_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT009_LCT009        | TABLE      | [NULL]  |
 CLIENT1     | PARAWIN              | TABLE      | [NULL]  |
 CLIENT1     | ROCHIL_ISOLADR       | TABLE      | [NULL]  |
 CLIENT1     | ROCHIL_ISOLDOC       | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ARCLOTS     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ARCLOTS_W   | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ARCPAGES    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ARCPAGES_W  | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IACTIONW    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IADRESSE    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IAUTEUR     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IAUTEX      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IBATIM      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ICATEG      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_I_CB        | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ICODDOS     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ICOULEUR    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IDATCART    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IDATELIB    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IDEX_D      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IDEX_F      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IDISPLEC    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_I_DM        | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_I_DT        | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IEDITEUR    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IFICHIER    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IFIC_ID     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IFOUR_ID    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IFOURNIS    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IGED_LNK    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IHOPITAL    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IICONO      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IINTITUL    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ILIEUX      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_I_LV        | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IMATIERE    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IMATIERW    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_I_MB        | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_INIVEAU     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_INIV_ID     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_INOMCONC    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_INOMPROP    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_INUMPRO     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IOBSERV     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IORGANIS    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IORIENT     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IOUTIL      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IOUTILW     | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IPERIODE    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IPERSONN    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IPROD_ID    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IPRODUCT    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IRECH       | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IREF        | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_IREFEREN    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ISUPPORT    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITHEME      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITITRE      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_I_TO        | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITYPECON    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITYPEDIC    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITYPEDOC    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITYPEREC    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITYPO       | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_ITYPOW      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_POSTIT      | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_TESTDESC    | TABLE      | [NULL]  |
 CLIENT1     | TESTDESC_TESTDES_000 | TABLE      | [NULL]  |
 CLIENT1     | TESTIL_ARCLOTS       | TABLE      | [NULL]  |
