12;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
8;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
4;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
2;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
12;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
4;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
6;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
4;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
6;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
6;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
6;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
12;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
6;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
13;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
12;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
1;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
2;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
5;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
8;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
4;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
13;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
1;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
10;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
12;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
4;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
12;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
17;Rue CAMILLE DESMOULINS;17000;LA ROCHELLE
8;Rue DE LA CANEBIERE;17000;LA ROCHELLE
5;Place DU CANTON;17000;LA ROCHELLE
3;Impasse DU CAPRICORNE;17000;LA ROCHELLE
180;Avenue CARNOT;17000;LA ROCHELLE
237;Avenue CARNOT;17000;LA ROCHELLE
176;Avenue CARNOT;17000;LA ROCHELLE
199;Avenue CARNOT;17000;LA ROCHELLE
237;Avenue CARNOT;17000;LA ROCHELLE
237;Avenue CARNOT;17000;LA ROCHELLE
22;Rue CAVELIER DE LA SALLE;17000;LA ROCHELLE
19;Rue LE CERF VOLANT;17000;LA ROCHELLE
38;Rue LE CERF VOLANT;17000;LA ROCHELLE
34;Avenue DU CHAMP DE MARS;17000;LA ROCHELLE
22;Avenue DU CHAMP DE MARS;17000;LA ROCHELLE
